product_name,brand,price
Buffalo Stilton Cheese,Fliptune,85.92
Reclining Camping Chair,Gevee,32.81
Ceramic Cookware Set,Roodel,57.11
Kids' Craft Supplies Set,Riffpedia,14.57
Classic Vanilla Fudge,Vidoo,83.85
Electric Hot Water Dispenser,Twinte,62.64
Training Soccer Ball,Oyoyo,34.92
Wall Planner,Devcast,34.24
Whole Chicken,Aivee,26.81
Rechargeable Hand Warmer,Oyoyo,12.65
Luxury Yoga Mat,Devshare,85.1
Vegan Mac & Cheese,Skajo,13.35
Gingerbread House Kit,Jabbercube,54.56
Frozen Berry Medley,Izio,48.03
Reflective Safety Vest,Buzzster,11.3
Handheld Vacuum,Kwideo,72.5
Window Blinds,Devpoint,68.57
Board Game,Photobug,41.98
Cabbage,Cogibox,26.21
Basil Tomato Soup,Realcube,15.57
Barbecue Chicken Pizza,Eimbee,45.28
Coconut Oil,Mudo,35.12
Indoor Grill,Tanoodle,19.32
Carrot Ginger Soup,Yata,49.42
Kids' Learning Tablet,Quimm,71.1
Truffle Parmesan Fries,Tazz,9.71
Glass Tea Pot,Wordware,2.55
Cinnamon Raisin Bagels,Linklinks,55.16
Heated Throw Blanket,Katz,96.71
Pet Safety Belt for Car,Kwinu,37.14
Vegan chocolate chip cookies,Devpulse,65.61
Digital Food Scale,Eayo,1.61
Sunflower Seeds,Livefish,7.72
Fridge Magnet Set,Youspan,62.07
Lemonade Mix,Eamia,10.19
Suction Cup Hooks,Oyondu,39.51
Outdoor Fire Pit,Voonix,3.84
Multi-Purpose Scissors,Yombu,38.5
Pasta (Linguine),Plambee,25.87
Wrist Support Brace,Kare,69.04
Himalayan Pink Salt,Meetz,17.38
Reusable Snack Bags,Katz,40.4
Measuring Cups Set,Flipstorm,57.82
Scent Diffuser,Rhyzio,49.03
Lightweight Backpacking Tent,Yodo,98.34
Travel Pillow with Memory Foam,Skinder,59.94
Spicy Kimchi,Yakidoo,7.55
Spicy Italian Sausage,Topiclounge,58.02
Sweet Chili Thai Sauce,Thoughtblab,73.3
Folding Exercise Bike,Layo,86.04
Bamboo Utensil Holder,Ailane,32.55
Butternut Squash Soup,Minyx,36.87
Smart Doorbell,Skinix,52.25
Teriyaki Beef Strips,Avamm,15.4
Kids' Art Easel,Leexo,76.47
Sesame Ginger Dressing,Ooba,43.18
Crispy Potato Tots,Thoughtsphere,35.8
Sketchbook,Zoovu,12.03
Vegetarian Stir Fry Sauce,Fivechat,13.69
Electric Griddle with Lid,BlogXS,61.52
Window Bird Feeder,Myworks,95.48
Portable Dog Water Bottle,Tagcat,80.16
Organic Brown Rice Cakes,Lajo,54.11
Stuffed Peppers with Quinoa,Jabbersphere,37.67
Luxury Memory Foam Mattress Topper,Twinder,85.4
Cinnamon Rolls,Youopia,53.62
Sweetened Condensed Milk,Npath,38.57
Beef Sirloin Steak,Leexo,79.23
Dog Training Clicker,Quire,31.0
Face Mask Set,Aimbo,8.36
Couscous Mix,Plambee,40.96
Chili Lime Shrimp,Eadel,44.0
Garden Tool Belt,Jabberstorm,26.82
Window Blinds,Kazu,11.84
Collapsible Folding Chair,Topicware,15.36
Sun-Dried Tomatoes,Zoombox,55.48
Peach Halves (canned),Brainsphere,70.09
Blueberry Muffin Mix,Voolith,99.06
Travel Mug,Realpoint,77.78
Italian Pasta,Tazz,82.57
Vegetable Quinoa Bowl,Realblab,14.68
Nordic Berry Smoothie,Yabox,77.32
Travel Laundry Bag,Trupe,70.19
Mushrooms,Avamm,66.49
Pasta Primavera,Twimbo,37.81
Ginger Turmeric Shots,Wordtune,50.34
Photo Album,Lazz,5.32
Organic Sweet Potatoes,Rhynyx,5.7
Grilled Vegetable Medley,Dabfeed,35.07
Ramen Noodles,Demizz,93.9
Cold Brew Coffee Maker,Viva,4.17
Kale Salad Kit,Riffwire,30.97
Puffed Rice Cake,Vinte,22.94
Lightweight Travel Backpack,Layo,4.25
Infrared Thermometer,Meedoo,64.85
Maple Syrup,Skalith,15.16
Vegan Alfredo Sauce,Camido,2.59
Chocolate Hazelnut Spread,Dabtype,70.09
Cookbook,Ooba,79.17
High-Quality Yoga Block,Yakidoo,35.75
Wireless HDMI Receiver,Wordify,85.03
Reusable Produce Bags Set,Linklinks,48.67
Grapes (red),Trudoo,79.85
Pizza Stone,Gabtune,99.6
Rustic Italian Breads,Feednation,63.45
Terry Cloth Robe,Realcube,33.56
Car Sunshade,InnoZ,26.2
Interactive Plush Toy,Jayo,50.82
Portable SSD,Mudo,38.15
Floral Summer Dress,Voonder,56.22
Popcorn Chicken,Babblestorm,4.48
Multi-Purpose Marine Rope,Gabtype,12.54
Vegan Caesar Dressing,Topdrive,5.81
Portable Phone Mug Holder,Bluejam,59.74
Classic Slim Fit Shirt,Twitterbeat,48.69
A-Line Skirt,Shuffletag,21.6
Surimi Crab Sticks,Thoughtstorm,97.39
Lentil Vegetable Curry,Flipopia,55.88
Induction Cooktop,Eamia,53.06
Pineapple Teriyaki Chicken Mix,Skyvu,7.1
Nutritional Yeast,Leenti,89.9
Crispy Kale Chips,Skaboo,25.05
Garlic Herb Grilled Chicken,Twimbo,96.57
Tomato Sauce,Linkbridge,15.71
Children's Educational Puzzle,Feedfish,81.69
Honey Sesame Cashews,Realfire,88.45
Coconut Oil Spray,Skidoo,26.66
Lentil Soup (canned),Devify,67.37
Handheld Garment Steamer,Realblab,36.83
Walnut Halves,Fiveclub,58.17
Spaghetti Sauce,Wordify,4.48
Pineapple Rings,Topiczoom,7.0
Antique Style Clock,Meetz,35.51
Maple Bacon Potato Chips,Yoveo,97.03
Pet Travel Backpack Carrier,Youspan,67.79
Organic Blueberries,Ntags,37.69
Lemonade Mix,Blogtags,53.76
Adjustable Kitchen Broom Stand,Fatz,84.03
Peanut Butter Pretzel Bites,Riffpedia,47.99
Hot Dog Buns,Jazzy,76.72
Eco-Friendly Yoga Mat,Yakidoo,70.38
Honey Garlic Chicken,Babbleblab,41.77
Telescope,Twitterbridge,90.94
Jennifer's Amazing Lip Balm Kit,Rhyloo,47.77
Over-The-Door Shoe Organizer,Dabfeed,4.63
Banana Nut Oatmeal Cups,Yodo,41.19
Smartphone Tripod with Remote,Gigabox,91.0
Terry Cloth Robe,Browsezoom,86.2
Banana Nut Oatmeal Cups,Snaptags,2.61
Portable Hand Warmer,Kanoodle,81.36
Garden Tool Set,Edgeify,78.55
Bicycle Lock,Photojam,90.95
Organic Cereal Bars,Livefish,4.49
Pistachio Ice Cream,Rhyloo,70.04
Watercolor Set,Jaxspan,36.09
Sesame Garlic Noodles,Browsedrive,9.35
Wireless Charger Stand,Tavu,8.57
Warm Wool Sweater,Photobug,13.5
Biodegradable Dog Waste Bags,Vinte,55.24
Fashionable Fanny Pack,Pixonyx,69.95
Handmade Leather Wallet,Browsedrive,76.89
Infrared Thermometer,Meevee,73.6
Flavored Instant Oatmeal,Linkbuzz,99.08
Breezy Off-The-Shoulder Top,InnoZ,90.24
Organic Baby Carrots,Buzzdog,65.09
Kids' Dinosaur-Themed Lunchbox,Meeveo,59.04
Sweet Potato Tots,Innotype,32.63
Sweet Corn Fritters,Livefish,33.61
Portable Air Compressor,Aibox,54.81
Pork Tenderloin,Kanoodle,79.26
Ankle Boots,Centidel,85.51
Rice Pilaf Mix,Jetpulse,84.17
Adjustable Bar Stools,Babbleblab,10.55
Honey Sriracha Chicken Bites,Twimm,62.37
Magnetic Phone Car Mount,Thoughtmix,94.69
Whole Grain Hamburger Buns,Rhyzio,49.39
Kale Caesar Salad Kit,Zoonoodle,64.13
Oven Thermometer,Tagopia,13.62
Canvas Wall Art,Eamia,35.96
Smoked Paprika Chicken Thighs,Yodel,8.56
Travel Makeup Organizer,Devbug,70.21
Roasted Red Pepper Dip,Mynte,88.44
Chipotle Lime Salsa,Browsebug,79.68
Chilli Lime Corn on the Cob,Eamia,20.25
Chocolate Chip Cliff Bars,Innojam,61.96
Corn Tortillas,Topicshots,70.93
Spicy Tuna Rolls,Eayo,30.22
Vegan Alfredo Sauce,Jaxbean,4.97
Compact Pop-Up Tent,Rhynyx,45.77
Adjustable Bar Stools,Quimm,13.17
Home Delivery Food Journal,Dabjam,4.44
Lemon Basil Pasta Sauce,Devpulse,98.23
Electric Griddle with Removable Plates,Yoveo,33.92
DIY Candle Making Kit,Ntag,24.5
Electric Wax Warmer,Avavee,1.33
Pleated Midi Dress,Mudo,26.34
Adjustable Standing Desk,Skidoo,81.06
Bike Repair Tool Kit,Thoughtsphere,56.72
Almond Butter Cookies,Twinder,77.22
Tuscan Bean Soup,Mydo,92.85
High-Speed Blender,Linklinks,33.25
Noise Reduction Headphones,Twitterlist,78.96
Breathable Face Mask Set,Aimbo,16.27
Chocolate Dipped Fruit,DabZ,22.27
Avocado Oil Mayo,Thoughtmix,7.81
Apple Cinnamon Instant Oatmeal,Riffwire,63.15
Spicy Beef Taco Mix,Tagchat,54.69
Corn Tortillas,Mycat,54.93
Fitness Resistance Bands Set,Feednation,73.24
Raspberry Vanilla Greek Yogurt,Ooba,55.98
Garlic Herb Cream Cheese,Avamm,15.42
Rustic Italian Bread,Zoovu,91.93
Cajun Seasoning,Dabjam,95.07
Pesto Genovese,Eayo,19.83
Magnetic Curtain Tiebacks,Meeveo,3.16
Coconut Milk Ice Cream,Devbug,60.37
Roasted Red Pepper Hummus,Yodo,22.9
Halloween Decoration Set,Skiptube,42.32
Spicy Italian Sausage,Avamba,79.58
Lemon Dill Chicken Skewers,Buzzbean,28.31
Portable Solar Phone Charger,Janyx,85.08
Whisk Set,Kimia,15.9
Banana Nut Muffins,Mycat,90.96
Almond Butter Crunch Bar,Pixope,67.17
Smartphone Gimbal Stabilizer,Gigazoom,31.18
Laptop Sleeve,Voonder,30.97
Classic BBQ Sauce,Zoomlounge,16.91
Fruit Infuser Water Bottle,Meemm,72.01
Surimi Crab Sticks,Tazzy,81.53
Electric Egg Cooker,Quinu,73.32
Magnetic Screen Door,Blogtag,16.53
Radish Chips,Edgetag,62.89
Insulated Sport Tumbler,Realbridge,76.27
Pineapple Rings,Mynte,13.49
